***********************./en_de_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 4919 = 15000
ents: 15000 + 4462 = 15000
all ents: 25500
all rels: 222 120 342
all triples: 38363 + 37377 = 75740
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
490/1000, rel loss = 17893.595, time = 0.872 s
491/1000, sim loss = 516.744, time = 0.260 s
492/1000, rel loss = 17835.608, time = 0.867 s
493/1000, sim loss = 516.496, time = 0.261 s
494/1000, rel loss = 17737.046, time = 0.872 s
495/1000, sim loss = 516.256, time = 0.269 s
496/1000, rel loss = 17692.998, time = 0.872 s
497/1000, sim loss = 516.025, time = 0.272 s
498/1000, rel loss = 17605.425, time = 0.871 s
499/1000, sim loss = 515.806, time = 0.262 s
500/1000, rel loss = 17570.522, time = 0.865 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.2406  0.521   0.7417  0.8278], mean = 153.091, mrr = 0.335, time = 5.650 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.2776  0.5577  0.769   0.8449], mean = 165.341, mrr = 0.373, time = 5.641 s 
501/1000, sim loss = 515.576, time = 0.261 s
502/1000, rel loss = 17494.307, time = 0.866 s
503/1000, sim loss = 515.338, time = 0.273 s
504/1000, rel loss = 17445.319, time = 0.870 s
505/1000, sim loss = 515.098, time = 0.259 s
506/1000, rel loss = 17376.483, time = 0.876 s
507/1000, sim loss = 514.872, time = 0.268 s
508/1000, rel loss = 17342.053, time = 0.869 s
509/1000, sim loss = 514.650, time = 0.262 s
510/1000, rel loss = 17299.390, time = 0.871 s
511/1000, sim loss = 514.433, time = 0.270 s
512/1000, rel loss = 17227.058, time = 0.869 s
513/1000, sim loss = 514.222, time = 0.265 s
514/1000, rel loss = 17141.756, time = 0.869 s
515/1000, sim loss = 513.994, time = 0.272 s
516/1000, rel loss = 17065.027, time = 0.868 s
517/1000, sim loss = 513.768, time = 0.262 s
