***********************./en_fr_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 4991 = 15000
ents: 15000 + 4832 = 15000
all ents: 25500
all rels: 221 177 398
all triples: 36508 + 33532 = 70040
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
X-EN: acc of top [1, 10, 50, 100] = [ 0.2323  0.5426  0.7681  0.8519], mean = 126.226, mrr = 0.336, time = 5.664 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.2597  0.559   0.7835  0.8599], mean = 126.737, mrr = 0.359, time = 5.658 s 
501/1000, sim loss = 496.039, time = 0.222 s
502/1000, rel loss = 17089.831, time = 0.856 s
503/1000, sim loss = 495.826, time = 0.224 s
504/1000, rel loss = 17045.666, time = 0.865 s
505/1000, sim loss = 495.620, time = 0.225 s
506/1000, rel loss = 16993.970, time = 0.860 s
507/1000, sim loss = 495.412, time = 0.225 s
508/1000, rel loss = 16938.196, time = 0.853 s
509/1000, sim loss = 495.206, time = 0.224 s
510/1000, rel loss = 16916.218, time = 0.850 s
511/1000, sim loss = 495.005, time = 0.226 s
512/1000, rel loss = 16853.475, time = 0.856 s
513/1000, sim loss = 494.804, time = 0.220 s
514/1000, rel loss = 16833.989, time = 0.851 s
515/1000, sim loss = 494.600, time = 0.234 s
516/1000, rel loss = 16747.818, time = 0.857 s
517/1000, sim loss = 494.390, time = 0.250 s
