22-45-01

354/1000, rel loss = 56338.021, time = 1.532 s
355/1000, sim loss = 559.616, time = 0.228 s
356/1000, rel loss = 56196.960, time = 1.544 s
357/1000, sim loss = 559.019, time = 0.221 s
358/1000, rel loss = 56016.699, time = 1.543 s
359/1000, sim loss = 558.441, time = 0.225 s
360/1000, rel loss = 55857.788, time = 1.544 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3616  0.6951  0.8545  0.9032], mean = 92.709, mrr = 0.473, time = 5.591 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3814  0.6855  0.833   0.8836], mean = 102.405, mrr = 0.484, time = 5.581 s 
361/1000, sim loss = 557.851, time = 0.219 s
362/1000, rel loss = 55752.371, time = 1.547 s
363/1000, sim loss = 557.265, time = 0.220 s
364/1000, rel loss = 55546.459, time = 1.528 s
365/1000, sim loss = 556.692, time = 0.221 s
366/1000, rel loss = 55419.471, time = 1.551 s
367/1000, sim loss = 556.130, time = 0.222 s
368/1000, rel loss = 55233.214, time = 1.544 s
369/1000, sim loss = 555.575, time = 0.221 s
370/1000, rel loss = 55070.541, time = 1.552 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3626  0.6975  0.8568  0.9048], mean = 90.692, mrr = 0.474, time = 5.595 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3814  0.6867  0.8344  0.8848], mean = 100.294, mrr = 0.484, time = 5.582 s 
371/1000, sim loss = 555.023, time = 0.226 s
372/1000, rel loss = 54904.886, time = 1.540 s
373/1000, sim loss = 554.477, time = 0.222 s
374/1000, rel loss = 54849.790, time = 1.523 s
375/1000, sim loss = 553.957, time = 0.222 s
376/1000, rel loss = 54698.526, time = 1.554 s
377/1000, sim loss = 553.428, time = 0.219 s
378/1000, rel loss = 54500.163, time = 1.534 s
379/1000, sim loss = 552.912, time = 0.225 s
380/1000, rel loss = 54474.264, time = 1.540 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3628  0.6973  0.8578  0.9074], mean = 88.785, mrr = 0.474, time = 5.586 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3832  0.6875  0.8347  0.8865], mean = 98.507, mrr = 0.485, time = 5.595 s 
381/1000, sim loss = 552.393, time = 0.221 s
382/1000, rel loss = 54248.381, time = 1.562 s
383/1000, sim loss = 551.852, time = 0.221 s
384/1000, rel loss = 54145.178, time = 1.568 s
385/1000, sim loss = 551.344, time = 0.223 s
386/1000, rel loss = 54004.828, time = 1.535 s
387/1000, sim loss = 550.834, time = 0.218 s
388/1000, rel loss = 53846.523, time = 1.557 s
389/1000, sim loss = 550.340, time = 0.221 s
390/1000, rel loss = 53764.995, time = 1.563 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3635  0.6964  0.859   0.9079], mean = 87.014, mrr = 0.475, time = 5.595 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3852  0.6865  0.8358  0.8872], mean = 96.600, mrr = 0.486, time = 5.583 s 
391/1000, sim loss = 549.851, time = 0.223 s
392/1000, rel loss = 53603.390, time = 1.526 s
393/1000, sim loss = 549.373, time = 0.219 s
394/1000, rel loss = 53514.201, time = 1.558 s
395/1000, sim loss = 548.896, time = 0.221 s
396/1000, rel loss = 53369.593, time = 1.564 s
397/1000, sim loss = 548.431, time = 0.221 s
398/1000, rel loss = 53287.066, time = 1.548 s
