22-30-10

312/1000, rel loss = 67437.814, time = 2.059 s
313/1000, sim loss = 526.494, time = 0.260 s
314/1000, rel loss = 67224.246, time = 2.036 s
315/1000, sim loss = 525.932, time = 0.258 s
316/1000, rel loss = 67078.524, time = 2.044 s
317/1000, sim loss = 525.379, time = 0.260 s
318/1000, rel loss = 66840.424, time = 2.045 s
319/1000, sim loss = 524.854, time = 0.263 s
320/1000, rel loss = 66599.840, time = 2.042 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3163  0.666   0.8249  0.8774], mean = 98.965, mrr = 0.433, time = 5.582 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.335   0.6637  0.824   0.879 ], mean = 101.186, mrr = 0.445, time = 5.591 s 
321/1000, sim loss = 524.308, time = 0.262 s
322/1000, rel loss = 66397.528, time = 2.018 s
323/1000, sim loss = 523.759, time = 0.253 s
324/1000, rel loss = 66292.326, time = 2.028 s
325/1000, sim loss = 523.257, time = 0.253 s
326/1000, rel loss = 66073.895, time = 2.008 s
327/1000, sim loss = 522.756, time = 0.254 s
328/1000, rel loss = 65892.666, time = 2.011 s
329/1000, sim loss = 522.244, time = 0.251 s
330/1000, rel loss = 65649.971, time = 2.034 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3164  0.6675  0.827   0.8784], mean = 96.980, mrr = 0.433, time = 5.587 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3346  0.6645  0.8262  0.8787], mean = 98.899, mrr = 0.445, time = 5.591 s 
331/1000, sim loss = 521.719, time = 0.256 s
332/1000, rel loss = 65415.680, time = 2.031 s
333/1000, sim loss = 521.219, time = 0.251 s
334/1000, rel loss = 65213.724, time = 2.007 s
335/1000, sim loss = 520.733, time = 0.253 s
336/1000, rel loss = 65164.345, time = 2.021 s
337/1000, sim loss = 520.274, time = 0.252 s
338/1000, rel loss = 64921.983, time = 2.034 s
339/1000, sim loss = 519.801, time = 0.254 s
340/1000, rel loss = 64765.454, time = 2.001 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3167  0.668   0.8277  0.8799], mean = 95.216, mrr = 0.434, time = 5.576 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3351  0.6667  0.8274  0.8787], mean = 97.133, mrr = 0.446, time = 5.581 s 
341/1000, sim loss = 519.339, time = 0.261 s
342/1000, rel loss = 64597.684, time = 2.047 s
343/1000, sim loss = 518.878, time = 0.255 s
344/1000, rel loss = 64425.361, time = 2.068 s
345/1000, sim loss = 518.424, time = 0.256 s
346/1000, rel loss = 64201.976, time = 2.050 s
347/1000, sim loss = 517.980, time = 0.256 s
348/1000, rel loss = 64022.334, time = 2.072 s
349/1000, sim loss = 517.521, time = 0.260 s
350/1000, rel loss = 63932.595, time = 2.052 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3199  0.6673  0.8295  0.8803], mean = 93.666, mrr = 0.436, time = 5.579 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3377  0.666   0.8281  0.88  ], mean = 95.395, mrr = 0.448, time = 5.581 s 
351/1000, sim loss = 517.080, time = 0.256 s
352/1000, rel loss = 63766.614, time = 2.040 s
353/1000, sim loss = 516.635, time = 0.256 s
354/1000, rel loss = 63538.227, time = 2.038 s
355/1000, sim loss = 516.211, time = 0.260 s
356/1000, rel loss = 63391.029, time = 2.037 s
357/1000, sim loss = 515.788, time = 0.258 s
358/1000, rel loss = 63223.668, time = 2.008 s
359/1000, sim loss = 515.383, time = 0.258 s
360/1000, rel loss = 63026.171, time = 2.024 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3175  0.6681  0.8296  0.8819], mean = 92.421, mrr = 0.435, time = 5.583 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.337   0.6661  0.827   0.8808], mean = 93.782, mrr = 0.447, time = 5.593 s 
361/1000, sim loss = 514.967, time = 0.259 s
362/1000, rel loss = 62876.252, time = 2.047 s
363/1000, sim loss = 514.569, time = 0.256 s
364/1000, rel loss = 62659.016, time = 2.024 s
365/1000, sim loss = 514.161, time = 0.254 s
366/1000, rel loss = 62549.818, time = 2.790 s
367/1000, sim loss = 513.764, time = 0.254 s
368/1000, rel loss = 62397.362, time = 2.006 s
369/1000, sim loss = 513.367, time = 0.255 s
370/1000, rel loss = 62228.946, time = 2.039 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.319   0.667   0.8304  0.8817], mean = 91.321, mrr = 0.436, time = 5.587 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3394  0.6675  0.827   0.8814], mean = 92.415, mrr = 0.449, time = 5.590 s 
371/1000, sim loss = 512.975, time = 0.266 s
372/1000, rel loss = 62152.038, time = 2.032 s
373/1000, sim loss = 512.613, time = 0.258 s
374/1000, rel loss = 61940.413, time = 2.025 s
375/1000, sim loss = 512.248, time = 0.254 s
376/1000, rel loss = 61862.390, time = 2.021 s
377/1000, sim loss = 511.899, time = 0.255 s
378/1000, rel loss = 61649.160, time = 2.017 s
379/1000, sim loss = 511.543, time = 0.253 s
380/1000, rel loss = 61560.159, time = 2.040 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3175  0.6683  0.8299  0.883 ], mean = 90.097, mrr = 0.435, time = 5.615 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3366  0.6672  0.8288  0.8817], mean = 91.255, mrr = 0.447, time = 5.590 s 
total time = 571.677 s

